,이성당,크리스마스,경암동,디저트,아메리카노,지린성,해수욕장,장자도,단팥빵,케이크,박물관,새만금,사진관,선유도,신흥동,칼국수,0,1
142,-0.037632552463635234,0.2518888063967087,0.1549028762064582,0.6341433398061944,,-0.24213430424575713,0.06617675759750712,,0.14638742449569192,,0.6055170614768445,0.47203392401934563,0.09362303618035338,-0.1540360101442053,0.3923236210564013,-0.41458616170391743,예쁜,Noun
143,,,,,,,,,,,,,,,,,여행,Noun
144,,,,,,,,,,,,,,,,,벚꽃,Noun
145,,,,,,,,,,,,,,,,,슈퍼,Noun
146,,,,,,,,,,,,,,,,,구이,Noun
147,1.0,-0.16878450148523266,0.30405318028627687,,,,1.0,,,,-0.6563884207486013,,-0.36765508641869526,0.9999999999999999,0.46673020443393054,,마을,Noun
148,,,,,,,,,,,,,,,,,복집,Noun
149,,,,,,,,,,,,,,,,,해군,Noun
150,,,,,,,,,,,,,,,,,전주,Noun
151,,,,,,,,,,,-1.0,,-1.0,,,,군산역,Noun
152,,,,,,,,,,,,,,,,,비응마,Noun
153,,,,,,,,,,,-1.0,,,,,,진포,Noun
154,,,,,,,,,,,,,,,,,감성,Noun
155,,,,,,,,,,,,,,,,,금강,Noun
156,-0.6523281850863176,0.7541463059129535,1.0,1.0,,,0.9999999999999998,,,,0.6388253860439683,0.5209162286013612,0.09794769325675669,0.7319800321727206,0.3799833011943381,1.0,일본,Noun
157,1.0,0.676804783065975,0.8680471109476924,-1.0,,0.9575744886469999,-1.0,-1.0,0.9113912948368912,,0.5903176357879223,0.8071778290076131,0.2226520354740334,0.6606850019458673,0.6728587542811106,0.7433758802583721,이성당,Noun
158,,,,,,,,,,,,,,,,,사장,Noun
159,,,,,,,,,,,,,,,,,주말,Noun
160,,,,,,,,,,,,,,,,,체육관,Noun
161,,,,,,,,,,,,,,,,,해양,Noun
162,0.6606850019458673,0.3569308974159799,0.07221042186136209,1.0,,0.297270897095877,0.9235642300783476,0.7324669187924415,1.0,,0.488142683965881,-0.051465146250661814,0.47586453378434007,1.0,0.840490271229794,0.9549366518833403,선유도,Noun
