단어,빈도수
나무막대기,1
나무몽,2
나무숲,15
나문희,2
나뭇가지,14
나뭇잎,21
나보이,4
나비파,1
나섰슴다,1
나오니,36
나오미,1
나오죵,1
나오쥬,2
나와라,2
나와썽,1
나와욤,1
나와욬,1
나왓네욬,1
나왓는데,2
나왓던,1
나왓슴다,1
나왔넹,1
나왔슴다,1
나왔습돠,1
나이스,8
나이키,1
나이테,1
나이트,2
나이프,14
나주시,3
나타남,2
나태주,1
나폴리,20
낙동강,6
낙산사,3
낙안읍성,5
낙엽수,1
낚시꾼,1
낚알못,1
난다요,1
난생처음,3
난이도,8
난장판,1
난쟁이,2
난중일기,1
난치병,1
난파선,1
날다람쥐,1
날벼락,1
날씨예보,2
날씬들,1
날씬이,1
남계서원,18
남구미대교,1
남당항,2
남대문,3
남대천,1
남동구,1
남동생,7
남동쪽,2
남부군,1
남북국시대,1
남산면,2
남생이,1
남성은,1
남양주,13
남양주시,4
남원시,14
남원읍성,1
남이섬,3
남일면,1
남자라면,2
남자친구,62
남조로,1
남종면,2
남주혁,1
남평읍,1
남포동,1
남포면,3
남포방조제,1
남표니,2
남해안,2
남후면,1
납골당,1
납작만두,2
낭창낭창,1
내가면,1
내거해,1
내동면,2
내레이션,2
내려받기,1
내리락,4
내리막,13
내릿다,1
내부샷,1
내비게이션,6
내뿜기,1
내뿜는,5
내뿜는덴,1
내뿜으,1
내소사,47
내용물,30
내장산,2767
내장상동,2
내정간섭,1
내촌면,1
내츄럴,1
내칭구,1
내후년,2
낼름낼름,1
냉동고,3
냉면집,11
냉장고,82
냉커피,10
냐무냐무,1
냠냐미,2
냠냠냠,3
냠냠뇸뇸함,1
너구리,2
너덜샘,1
너르디너른,1
너므너므,1
넌지시,1
널뛰기,1
널렸어,2
널브러져,1
넓어욬,1
넘버원,1
넘사벽,1
넘쳤넹,1
넙적하,2
네가지,1
네덜란드,2
네발나비,2
네비게이션,19
네스퀵,1
네온사인,10
네온싸인,1
네이비,2
네이션,1
네일아트,1
네임드,1
네추럴,2
네트워크,2
넥실리스,3
넷플릭스,12
노각나무,1
노고단,6
노노노,2
노노노노,1
노다지,1
노닥거릴,1
노동일,1
노동자,2
노란색,14
노랑나비,1
노래방,10
노랫소리,3
노랭이,1
노랭이표,2
노령산맥,13
노령역,1
노루귀,1
노루발,1
노른자,26
노린재,5
노매럴,2
노블레스,1
노선도,2
노원구,3
노원역,1
노은면,3
노을길,3
노적봉,1
노점상,4
노컷뉴스,1
노키존,1
노트북,20
노피곰,5
노하우,17
노화도,2
녹다운,1
녹두장군,43
녹음기,1
녹차아이스크림,5
논바닥,3
논산시,1
논스톱,1
논픽션,1
논현동,2
놀랫어,1
놀랬슴다,1
놀러와,12
놀멍쉬멍,1
놀이기구,7
놀이동산,3
놀이터,79
놈흐옙흐네,1
놋그릇,2
농경지,4
농구장,3
농기구,7
농림축산식품부,3
농민공,2
농민운동,32
농민전쟁,9
농번기,4
농부가,2
농사일,1
농산물,30
농소동,5
농악놀이,1
농암면,2
농어촌,1
농업인,1
농촌진흥청,2
높낮이,1
놨는데,1
놨었기,1
뇌릿속,1
뇸뇸뇸,1
뇸뇸보,1
뇸뇸할,1
누구껀,1
누군가,29
누루셔,1
누룽밥,3
누룽지,176
누르기,2
누릉지,1
누리장나무,6
누리집,6
누비아,39
누었습,1
누었을때,1
누텔라,12
눈높이,4
눈누눈누,1
눈대중,1
눈데용,1
눈맞춤,3
눈보라,1
눈부심,1
눈사람,8
눈송이,1
눈썰매,1
눈요기,3
눈초리,1
눈코입,1
눕드라구,1
눙물입니,1
뉘엇뉘엇,3
뉴질랜드,3
뉴타운,1
뉴트로갬성,1
느글거려,1
느글거릴수,2
느껴봐랏,2
느린우체통,5
느릿느릿,3
느므좋,1
느적하,1
느즈막,1
느즈막히,2
느타리버섯,1
느티나무,8
늑힘적,1
는쪼끔,1
능내역,1
능력자,1
능서면,1
능소화,30
능이버섯,2
늦가을,1
늦더위,1
늦둥이,1
늬끼함,1
니콜라,1
닐라닐,1
다각형,2
다골르랭,1
다국어,1
다녀왓슘니,1
다년생,3
다녓다,1
다니엘,1
다다다,3
다다랗내,1
다다미,1
다대기,9
다대동,1
다대포해수욕장,1
다데기,4
다도해,1
다락방,4
다람쥐,13
다랭이논,2
다롱디리,10
다른사람,3
다릿병,1
다먹쥬고추,2
다목적댐,2
다문천왕,2
다문화,5
다산로,1
다산면,1
다산초당,2
다섯손가락,1
다섯시,3
다세대,1
다소니,46
다슬기,17
다슬이,3
다시금,12
다시마,1
다시면,1
다시피,1
다압면,1
다양성,9
다운동,1
다운로드,16
다원메닥스,1
다웠어,1
다유락,1
다육식물,2
다음주,16
다음해,2
다이나믹,2
다이노,2
다이렉트,2
다이빙,1
